C maximal rule for r=a:bc;s=a:bdr; ars,brs,crs,drs
I 2327.52] Elapsed: 38:48, vertices: 265, facets final: 105, pending: 161833, pool: 50
I 2342.48] Elapsed: 39:02, vertices: 267, facets final: 105, pending: 170155, pool: 50
I 2356.79] Elapsed: 39:17, vertices: 270, facets final: 105, pending: 166209, pool: 50
I 2370.18] Elapsed: 39:30, vertices: 272, facets final: 105, pending: 165061, pool: 50
I 2382.90] Elapsed: 39:43, vertices: 273, facets final: 106, pending: 155898, pool: 50
I 2414.29] Elapsed: 40:14, vertices: 274, facets final: 106, pending: 156954, pool: 50
I 2428.51] Elapsed: 40:29, vertices: 275, facets final: 106, pending: 152586, pool: 50
I 2439.46] Elapsed: 40:39, vertices: 277, facets final: 106, pending: 148854, pool: 50
I 2454.63] Elapsed: 40:55, vertices: 280, facets final: 108, pending: 149279, pool: 50
I 2465.66] Elapsed: 41:06, vertices: 282, facets final: 108, pending: 144041, pool: 50
I 2494.50] Elapsed: 41:35, vertices: 286, facets final: 110, pending: 128999, pool: 50
I 2505.40] Elapsed: 41:45, vertices: 288, facets final: 110, pending: 123643, pool: 50
I 2516.43] Elapsed: 41:56, vertices: 293, facets final: 110, pending: 122428, pool: 48
I 2527.65] Elapsed: 42:08, vertices: 297, facets final: 110, pending: 121736, pool: 48
I 2540.09] Elapsed: 42:20, vertices: 299, facets final: 112, pending: 111980, pool: 50
I 2540.23] recalculating facets...
I 2550.61] Elapsed: 42:31, vertices: 301, facets final: 113, pending: 104951, pool: 50
I 2561.64] Elapsed: 42:42, vertices: 307, facets final: 114, pending: 103559, pool: 50
I 2572.34] Elapsed: 42:52, vertices: 311, facets final: 114, pending: 96101, pool: 50
I 2584.80] Elapsed: 43:05, vertices: 318, facets final: 115, pending: 91772, pool: 49
I 2596.87] Elapsed: 43:17, vertices: 323, facets final: 121, pending: 86282, pool: 50
I 2607.78] Elapsed: 43:28, vertices: 330, facets final: 125, pending: 77505, pool: 50
I 2618.14] Elapsed: 43:38, vertices: 340, facets final: 127, pending: 70920, pool: 49
I 2628.21] Elapsed: 43:48, vertices: 352, facets final: 128, pending: 64351, pool: 50
I 2638.22] Elapsed: 43:58, vertices: 364, facets final: 135, pending: 54965, pool: 50
I 2648.62] Elapsed: 44:09, vertices: 378, facets final: 145, pending: 53148, pool: 50
I 2658.77] Elapsed: 44:19, vertices: 395, facets final: 180, pending: 48224, pool: 50
I 2661.01] recalculating facets...
I 2668.79] Elapsed: 44:29, vertices: 416, facets final: 204, pending: 40502, pool: 50
I 2679.01] Elapsed: 44:39, vertices: 445, facets final: 263, pending: 35972, pool: 44
I 2689.02] Elapsed: 44:49, vertices: 480, facets final: 395, pending: 29004, pool: 46
I 2692.47] recalculating facets...
I 2699.02] Elapsed: 44:59, vertices: 556, facets final: 1200, pending: 21904, pool: 10
I 2703.98] recalculating facets...
I 2727.51] Elapsed: 45:28, vertices: 610, facets final: 6649, pending: 51620, pool: 4
I 2742.24] Elapsed: 45:42, vertices: 611, facets final: 6649, pending: 67364, pool: 3
I 2793.73] Elapsed: 46:34, vertices: 612, facets final: 6649, pending: 108658, pool: 2
I 2944.33] Elapsed: 49:04, vertices: 613, facets final: 6653, pending: 156328, pool: 11
I 3051.10] Elapsed: 50:51, vertices: 614, facets final: 6654, pending: 154588, pool: 19
I 3242.85] Elapsed: 54:03, vertices: 615, facets final: 6654, pending: 268059, pool: 21
I 3649.56] Elapsed: 1:00:50, vertices: 616, facets final: 6655, pending: 281518, pool: 20
I 4187.26] Elapsed: 1:09:47, vertices: 617, facets final: 6656, pending: 298373, pool: 25
I 4427.69] Elapsed: 1:13:48, vertices: 618, facets final: 6656, pending: 245316, pool: 27
I 4739.57] Elapsed: 1:19:00, vertices: 619, facets final: 6656, pending: 289465, pool: 27
I 5024.54] Elapsed: 1:23:45, vertices: 620, facets final: 6656, pending: 332301, pool: 30
I 5326.36] Elapsed: 1:28:46, vertices: 621, facets final: 6656, pending: 341797, pool: 29
I 5530.52] Elapsed: 1:32:11, vertices: 622, facets final: 6656, pending: 315398, pool: 28
I 5672.98] Elapsed: 1:34:33, vertices: 623, facets final: 6657, pending: 278230, pool: 31
I 5859.16] Elapsed: 1:37:39, vertices: 624, facets final: 6657, pending: 323620, pool: 30
I 6049.39] Elapsed: 1:40:49, vertices: 625, facets final: 6657, pending: 310340, pool: 30
I 6186.10] Elapsed: 1:43:06, vertices: 626, facets final: 6657, pending: 338707, pool: 29
I 6316.67] Elapsed: 1:45:17, vertices: 627, facets final: 6657, pending: 325084, pool: 28
I 6526.90] Elapsed: 1:48:47, vertices: 628, facets final: 6657, pending: 329504, pool: 28
I 6662.62] Elapsed: 1:51:03, vertices: 629, facets final: 6657, pending: 312919, pool: 30
I 6806.25] Elapsed: 1:53:26, vertices: 630, facets final: 6659, pending: 334343, pool: 30
I 6982.16] Elapsed: 1:56:22, vertices: 631, facets final: 6659, pending: 328744, pool: 29
I 7107.28] Elapsed: 1:58:27, vertices: 632, facets final: 6659, pending: 328699, pool: 37
I 7257.53] Elapsed: 2:00:58, vertices: 633, facets final: 6660, pending: 388154, pool: 37
I 7480.87] Elapsed: 2:04:41, vertices: 634, facets final: 6661, pending: 425527, pool: 39
I 7699.12] Elapsed: 2:08:19, vertices: 635, facets final: 6662, pending: 404764, pool: 41
I 7982.54] Elapsed: 2:13:03, vertices: 636, facets final: 6662, pending: 392780, pool: 41
I 8163.56] Elapsed: 2:16:04, vertices: 637, facets final: 6662, pending: 387807, pool: 42
I 8340.44] Elapsed: 2:19:00, vertices: 638, facets final: 6662, pending: 386977, pool: 41
I 8517.56] Elapsed: 2:21:58, vertices: 639, facets final: 6662, pending: 379148, pool: 43
I 8670.40] Elapsed: 2:24:30, vertices: 640, facets final: 6662, pending: 346732, pool: 44
I 8846.78] Elapsed: 2:27:27, vertices: 641, facets final: 6666, pending: 357626, pool: 45
I 8992.88] Elapsed: 2:29:53, vertices: 642, facets final: 6667, pending: 382785, pool: 47
I 9141.38] Elapsed: 2:32:21, vertices: 643, facets final: 6667, pending: 369533, pool: 49
I 9353.20] Elapsed: 2:35:53, vertices: 644, facets final: 6667, pending: 328237, pool: 50
I 9502.81] Elapsed: 2:38:23, vertices: 645, facets final: 6667, pending: 341007, pool: 49
I 9692.16] Elapsed: 2:41:32, vertices: 646, facets final: 6667, pending: 379170, pool: 50
I 9856.30] Elapsed: 2:44:16, vertices: 647, facets final: 6667, pending: 360202, pool: 49
I10091.06] Elapsed: 2:48:11, vertices: 648, facets final: 6667, pending: 375744, pool: 50
I10246.93] Elapsed: 2:50:47, vertices: 649, facets final: 6667, pending: 355051, pool: 50
I10380.53] Elapsed: 2:53:01, vertices: 650, facets final: 6667, pending: 371648, pool: 50
I10492.61] Elapsed: 2:54:53, vertices: 651, facets final: 6667, pending: 411124, pool: 50
I10667.10] Elapsed: 2:57:47, vertices: 652, facets final: 6667, pending: 391560, pool: 50
I10778.24] Elapsed: 2:59:38, vertices: 653, facets final: 6667, pending: 376528, pool: 50
