C maximal rule for r=a:bc;s=a:bdr; ars,brs,crs,drs
I171504.40] Elapsed: 1d23:38:24, vertices: 1246, facets final: 7823, pending: 173335, pool: 48
I171516.65] Elapsed: 1d23:38:37, vertices: 1249, facets final: 7866, pending: 174168, pool: 50
I171527.54] Elapsed: 1d23:38:48, vertices: 1255, facets final: 7880, pending: 173709, pool: 45
I171537.76] Elapsed: 1d23:38:58, vertices: 1262, facets final: 7916, pending: 171354, pool: 41
I171548.58] Elapsed: 1d23:39:09, vertices: 1271, facets final: 7950, pending: 169278, pool: 33
I171559.19] Elapsed: 1d23:39:19, vertices: 1276, facets final: 8012, pending: 167128, pool: 34
I171569.97] Elapsed: 1d23:39:30, vertices: 1281, facets final: 8088, pending: 163804, pool: 37
I171580.19] Elapsed: 1d23:39:40, vertices: 1290, facets final: 8222, pending: 162338, pool: 35
I171590.34] Elapsed: 1d23:39:50, vertices: 1299, facets final: 8340, pending: 160066, pool: 34
I171590.39] recalculating facets...
I171601.21] Elapsed: 1d23:40:01, vertices: 1303, facets final: 8442, pending: 157339, pool: 35
I171611.53] Elapsed: 1d23:40:12, vertices: 1314, facets final: 8588, pending: 155465, pool: 29
I171621.53] Elapsed: 1d23:40:22, vertices: 1335, facets final: 9076, pending: 153297, pool: 12
I171631.99] Elapsed: 1d23:40:32, vertices: 1353, facets final: 11555, pending: 148805, pool: 13
I171642.32] Elapsed: 1d23:40:42, vertices: 1368, facets final: 15300, pending: 143271, pool: 8
I171652.32] Elapsed: 1d23:40:52, vertices: 1384, facets final: 30780, pending: 126935, pool: 2
I171763.65] Elapsed: 1d23:42:44, vertices: 1393, facets final: 40363, pending: 272351, pool: 1
I172052.77] Elapsed: 1d23:47:33, vertices: 1394, facets final: 40499, pending: 298870, pool: 3
I172386.90] Elapsed: 1d23:53:07, vertices: 1395, facets final: 40579, pending: 299853, pool: 10
I172843.73] Elapsed: 2d00:00:44, vertices: 1396, facets final: 40595, pending: 326726, pool: 9
I174361.86] Elapsed: 2d00:26:02, vertices: 1397, facets final: 40613, pending: 351714, pool: 8
I176230.80] Elapsed: 2d00:57:11, vertices: 1398, facets final: 40654, pending: 358897, pool: 12
I177803.71] Elapsed: 2d01:23:24, vertices: 1399, facets final: 40671, pending: 367942, pool: 13
I177803.87] recalculating facets...
I179416.45] Elapsed: 2d01:50:16, vertices: 1400, facets final: 40700, pending: 367848, pool: 14
I180430.16] Elapsed: 2d02:07:10, vertices: 1401, facets final: 40706, pending: 369819, pool: 13
I181389.93] Elapsed: 2d02:23:10, vertices: 1402, facets final: 40721, pending: 371512, pool: 17
I182103.24] Elapsed: 2d02:35:03, vertices: 1403, facets final: 40724, pending: 363193, pool: 16
I182713.86] Elapsed: 2d02:45:14, vertices: 1404, facets final: 40725, pending: 393866, pool: 15
I183132.03] Elapsed: 2d02:52:12, vertices: 1405, facets final: 40726, pending: 395659, pool: 14
I183359.84] Elapsed: 2d02:56:00, vertices: 1406, facets final: 40733, pending: 387334, pool: 13
I183604.43] Elapsed: 2d03:00:04, vertices: 1407, facets final: 40735, pending: 386040, pool: 14
I183747.99] Elapsed: 2d03:02:28, vertices: 1408, facets final: 40740, pending: 364749, pool: 15
I184035.73] Elapsed: 2d03:07:16, vertices: 1409, facets final: 40742, pending: 360791, pool: 15
I184090.85] Elapsed: 2d03:08:11, vertices: 1410, facets final: 40751, pending: 352632, pool: 15
I184520.50] Elapsed: 2d03:15:21, vertices: 1411, facets final: 40751, pending: 356312, pool: 14
I184739.34] Elapsed: 2d03:18:59, vertices: 1412, facets final: 40751, pending: 361664, pool: 14
I185008.80] Elapsed: 2d03:23:29, vertices: 1413, facets final: 40764, pending: 367530, pool: 15
I185160.13] Elapsed: 2d03:26:00, vertices: 1414, facets final: 40767, pending: 370461, pool: 14
I185356.72] Elapsed: 2d03:29:17, vertices: 1415, facets final: 40769, pending: 369112, pool: 14
I185571.57] Elapsed: 2d03:32:52, vertices: 1416, facets final: 40780, pending: 369275, pool: 19
I185676.41] Elapsed: 2d03:34:36, vertices: 1417, facets final: 40782, pending: 375827, pool: 20
I185780.51] Elapsed: 2d03:36:21, vertices: 1418, facets final: 40783, pending: 372053, pool: 20
I185923.60] Elapsed: 2d03:38:44, vertices: 1419, facets final: 40797, pending: 362127, pool: 28
I186037.69] Elapsed: 2d03:40:38, vertices: 1420, facets final: 40801, pending: 354132, pool: 28
I186139.91] Elapsed: 2d03:42:20, vertices: 1421, facets final: 40801, pending: 357849, pool: 28
I186215.91] Elapsed: 2d03:43:36, vertices: 1422, facets final: 40806, pending: 360786, pool: 27
I186341.98] Elapsed: 2d03:45:42, vertices: 1423, facets final: 40806, pending: 363496, pool: 26
I186399.80] Elapsed: 2d03:46:40, vertices: 1424, facets final: 40815, pending: 360015, pool: 25
I186520.19] Elapsed: 2d03:48:40, vertices: 1425, facets final: 40816, pending: 361396, pool: 24
I186699.91] Elapsed: 2d03:51:40, vertices: 1426, facets final: 40823, pending: 364249, pool: 24
I186734.00] Elapsed: 2d03:52:14, vertices: 1427, facets final: 40823, pending: 360633, pool: 23
I186808.67] Elapsed: 2d03:53:29, vertices: 1428, facets final: 40830, pending: 359046, pool: 23
I186838.48] Elapsed: 2d03:53:58, vertices: 1429, facets final: 40831, pending: 354129, pool: 22
I186894.22] Elapsed: 2d03:54:54, vertices: 1430, facets final: 40833, pending: 354923, pool: 21
I186951.55] Elapsed: 2d03:55:52, vertices: 1431, facets final: 40840, pending: 348023, pool: 23
I187068.83] Elapsed: 2d03:57:49, vertices: 1432, facets final: 40840, pending: 349137, pool: 24
I187140.73] Elapsed: 2d03:59:01, vertices: 1433, facets final: 40842, pending: 348857, pool: 23
I187210.35] Elapsed: 2d04:00:10, vertices: 1434, facets final: 40844, pending: 349053, pool: 22
I187290.74] Elapsed: 2d04:01:31, vertices: 1435, facets final: 40847, pending: 347978, pool: 22
I187332.07] Elapsed: 2d04:02:12, vertices: 1436, facets final: 40847, pending: 344168, pool: 21
I187405.39] Elapsed: 2d04:03:25, vertices: 1437, facets final: 40849, pending: 348563, pool: 20
I187468.08] Elapsed: 2d04:04:28, vertices: 1438, facets final: 40864, pending: 349891, pool: 20
I187511.99] Elapsed: 2d04:05:12, vertices: 1439, facets final: 40871, pending: 346728, pool: 19
I187538.77] Elapsed: 2d04:05:39, vertices: 1440, facets final: 40876, pending: 343555, pool: 19
I187578.26] Elapsed: 2d04:06:18, vertices: 1441, facets final: 40876, pending: 343216, pool: 19
I187596.17] Elapsed: 2d04:06:36, vertices: 1442, facets final: 40883, pending: 341451, pool: 18
I187616.47] Elapsed: 2d04:06:56, vertices: 1443, facets final: 40888, pending: 338946, pool: 17
I187679.09] Elapsed: 2d04:07:59, vertices: 1444, facets final: 40912, pending: 335165, pool: 20
I187708.45] Elapsed: 2d04:08:28, vertices: 1445, facets final: 40922, pending: 331421, pool: 21
I187727.63] Elapsed: 2d04:08:48, vertices: 1446, facets final: 40922, pending: 329455, pool: 20
I187742.99] Elapsed: 2d04:09:03, vertices: 1447, facets final: 40927, pending: 328122, pool: 19
I187763.93] Elapsed: 2d04:09:24, vertices: 1448, facets final: 40946, pending: 323505, pool: 19
I187791.77] Elapsed: 2d04:09:52, vertices: 1449, facets final: 40946, pending: 326759, pool: 18
I187831.35] Elapsed: 2d04:10:31, vertices: 1450, facets final: 40983, pending: 327233, pool: 18
I187850.30] Elapsed: 2d04:10:50, vertices: 1451, facets final: 40984, pending: 323548, pool: 17
I187894.62] Elapsed: 2d04:11:35, vertices: 1452, facets final: 41017, pending: 320775, pool: 19
I187928.14] Elapsed: 2d04:12:08, vertices: 1453, facets final: 41022, pending: 320786, pool: 19
I187946.86] Elapsed: 2d04:12:27, vertices: 1455, facets final: 41031, pending: 316733, pool: 17
I187963.77] Elapsed: 2d04:12:44, vertices: 1456, facets final: 41055, pending: 315303, pool: 17
I187976.81] Elapsed: 2d04:12:57, vertices: 1457, facets final: 41057, pending: 315991, pool: 16
I188002.43] Elapsed: 2d04:13:22, vertices: 1459, facets final: 41061, pending: 315107, pool: 14
I188049.10] Elapsed: 2d04:14:09, vertices: 1460, facets final: 41069, pending: 315285, pool: 14
I188084.23] Elapsed: 2d04:14:44, vertices: 1461, facets final: 41071, pending: 314361, pool: 14
I188095.88] Elapsed: 2d04:14:56, vertices: 1462, facets final: 41074, pending: 313086, pool: 13
I188109.87] Elapsed: 2d04:15:10, vertices: 1464, facets final: 41086, pending: 311410, pool: 12
I188124.71] Elapsed: 2d04:15:25, vertices: 1466, facets final: 41099, pending: 308753, pool: 12
I188139.93] Elapsed: 2d04:15:40, vertices: 1468, facets final: 41112, pending: 306870, pool: 11
I188161.62] Elapsed: 2d04:16:02, vertices: 1469, facets final: 41116, pending: 305652, pool: 12
I188179.23] Elapsed: 2d04:16:19, vertices: 1470, facets final: 41140, pending: 303788, pool: 12
I188196.27] Elapsed: 2d04:16:36, vertices: 1472, facets final: 41143, pending: 301951, pool: 10
I188221.20] Elapsed: 2d04:17:01, vertices: 1475, facets final: 41227, pending: 302497, pool: 8
I188235.20] Elapsed: 2d04:17:15, vertices: 1477, facets final: 41265, pending: 299971, pool: 8
I188245.73] Elapsed: 2d04:17:26, vertices: 1479, facets final: 41277, pending: 299359, pool: 6
I188276.80] Elapsed: 2d04:17:57, vertices: 1480, facets final: 41380, pending: 300900, pool: 10
I188295.68] Elapsed: 2d04:18:16, vertices: 1481, facets final: 41399, pending: 300409, pool: 9
I188316.78] Elapsed: 2d04:18:37, vertices: 1483, facets final: 41499, pending: 301112, pool: 11
I188328.25] Elapsed: 2d04:18:48, vertices: 1485, facets final: 41515, pending: 298548, pool: 10
I188344.43] Elapsed: 2d04:19:04, vertices: 1486, facets final: 41536, pending: 294565, pool: 10
I188356.33] Elapsed: 2d04:19:16, vertices: 1489, facets final: 41580, pending: 293210, pool: 8
I188366.76] Elapsed: 2d04:19:27, vertices: 1492, facets final: 41735, pending: 291049, pool: 13
I188377.63] Elapsed: 2d04:19:38, vertices: 1494, facets final: 41854, pending: 289144, pool: 14
I188387.74] Elapsed: 2d04:19:48, vertices: 1497, facets final: 41990, pending: 288516, pool: 14
I188393.05] recalculating facets...
I188400.68] Elapsed: 2d04:20:01, vertices: 1500, facets final: 42184, pending: 288598, pool: 12
I188415.05] Elapsed: 2d04:20:15, vertices: 1505, facets final: 42428, pending: 287808, pool: 9
I188428.68] Elapsed: 2d04:20:29, vertices: 1509, facets final: 42662, pending: 287898, pool: 10
I188442.61] Elapsed: 2d04:20:43, vertices: 1512, facets final: 42975, pending: 284937, pool: 12
I188453.45] Elapsed: 2d04:20:53, vertices: 1516, facets final: 43434, pending: 283150, pool: 12
I188463.77] Elapsed: 2d04:21:04, vertices: 1520, facets final: 43685, pending: 281435, pool: 10
I188473.82] Elapsed: 2d04:21:14, vertices: 1522, facets final: 43839, pending: 281661, pool: 8
I188484.23] Elapsed: 2d04:21:24, vertices: 1526, facets final: 44187, pending: 281279, pool: 5
I188499.78] Elapsed: 2d04:21:40, vertices: 1531, facets final: 44645, pending: 281114, pool: 3
I188512.11] Elapsed: 2d04:21:52, vertices: 1535, facets final: 46050, pending: 279119, pool: 3
I188522.71] Elapsed: 2d04:22:03, vertices: 1538, facets final: 48368, pending: 275459, pool: 4
I188532.71] Elapsed: 2d04:22:13, vertices: 1542, facets final: 62336, pending: 260876, pool: 1
I188542.71] Elapsed: 2d04:22:23, vertices: 1545, facets final: 84778, pending: 238306, pool: 1
I188552.71] Elapsed: 2d04:22:33, vertices: 1545, facets final: 108289, pending: 214795
I188562.71] Elapsed: 2d04:22:43, vertices: 1545, facets final: 132256, pending: 190828
I188572.71] Elapsed: 2d04:22:53, vertices: 1545, facets final: 156253, pending: 166831
I188582.71] Elapsed: 2d04:23:03, vertices: 1545, facets final: 180720, pending: 142364
I188592.71] Elapsed: 2d04:23:13, vertices: 1545, facets final: 204539, pending: 118545
I188602.71] Elapsed: 2d04:23:23, vertices: 1545, facets final: 229040, pending: 94044
I188612.71] Elapsed: 2d04:23:33, vertices: 1545, facets final: 253993, pending: 69091
I188622.71] Elapsed: 2d04:23:43, vertices: 1545, facets final: 282522, pending: 40562
I188632.71] Elapsed: 2d04:23:53, vertices: 1545, facets final: 310922, pending: 12162
I188637.26] Elapsed: 2d04:23:57, vertices: 1545, facets final: 323084, pending: 0

--------------------------------
Problem completed
 name                    22-43-213-d.vlp
 output                  solution/22-43-213-d.res
 rows, cols, objs        43, 213, 22
 vertices, facets        1546, 323084
 total time              2d04:23:57
--------------------------------
Statistics
LP:
 oracle calls            325528
   avg iterations/calls  18.95
 total oracle time       2:07
Combinatorics:
 vertices added          1546
 facets probed           328372
 facets # max            1809565
 memory allocated        1.29G
 storage expansion
   vertices # / upto     13 / 1660
   facets   # / upto     47 / 1810428
 facet manipulating
   added avg / max       11.59k / 540.50k
   compressed            167
 number of ridge tests
   avg / max             8.08G / 491.64G
--------------------------------
Parameters with non-default values
 VertexPoolSize = 50
