C copy string: rs=cd:ab;tu=cr:ab;vw=(ru)t:ad
C MOLP problem=10-707-9472-b.vlp, minimize
C rows=707, columns=9472, objectives=10
 name                    10-707-9472-b.vlp
 output                  solution/10-707-9472-b.res
 rows, cols, objs        707, 9472, 10
 vertices, facets        97, 271
 total time              19:50
--------------------------------
Statistics
LP:
 oracle calls            368
   avg iterations/calls  2.03k
 total oracle time       19:50
Combinatorics:
 vertices added          97
 facets probed           368
 facets # max            295
 memory allocated        536.93k
 storage expansion
   vertices # / upto     1 / 124
   facets   # / upto     1 / 4092
 facet manipulating
   compress / increase   0 / 0
   added avg / max       10.31 / 41.00
 number of ridge tests
   avg / max             1.11k / 6.60k
--------------------------------
Parameters with new values
 OracleItLimit = 20000
 RandomFacet = 1
