C maximal rule for r=c:ab;s=b:adr; rs,bs,cs,ds
C MOLP problem=22-43-213-c.vlp, minimize
C rows=43, columns=213, objectives=22
I 4758.58] Elapsed: 1:19:19, vertices: 163, facets final: 50, pending: 275172, eq: 5843, out: 12080, in: 4747, pool: 149
I 4835.31] Elapsed: 1:20:35, vertices: 164, facets final: 50, pending: 269914, eq: 4768, out: 12600, in: 7342, pool: 149
I 4904.33] Elapsed: 1:21:44, vertices: 165, facets final: 50, pending: 274938, eq: 13481, out: 11015, in: 16039, pool: 150
I 4991.59] Elapsed: 1:23:12, vertices: 166, facets final: 50, pending: 291974, eq: 6202, out: 11622, in: 28658, pool: 150
I 5113.48] Elapsed: 1:25:13, vertices: 167, facets final: 50, pending: 316010, eq: 10402, out: 14398, in: 38434, pool: 150
I 5261.97] Elapsed: 1:27:42, vertices: 168, facets final: 50, pending: 307004, eq: 14456, out: 19545, in: 10539, pool: 149
I 5388.71] Elapsed: 1:29:49, vertices: 169, facets final: 50, pending: 316519, eq: 10693, out: 18043, in: 27558, pool: 149
I 5527.72] Elapsed: 1:32:08, vertices: 170, facets final: 50, pending: 344855, eq: 7510, out: 16726, in: 45062, pool: 148
I 5712.77] Elapsed: 1:35:13, vertices: 171, facets final: 50, pending: 325489, eq: 14234, out: 26314, in: 6948, pool: 150
I 5902.56] Elapsed: 1:38:23, vertices: 172, facets final: 50, pending: 324507, eq: 13875, out: 22192, in: 21210, pool: 150
I 6042.86] Elapsed: 1:40:43, vertices: 173, facets final: 50, pending: 338916, eq: 14244, out: 17010, in: 31419, pool: 149
I 6221.66] Elapsed: 1:43:42, vertices: 174, facets final: 50, pending: 637046, eq: 21978, out: 18893, in: 317023, pool: 150
I 6785.39] Elapsed: 1:53:05, vertices: 175, facets final: 50, pending: 655693, eq: 26070, out: 32871, in: 51518, pool: 150
I 7380.41] Elapsed: 2:03:00, vertices: 176, facets final: 50, pending: 666584, eq: 18921, out: 35237, in: 46128, pool: 150
I 7867.17] Elapsed: 2:11:07, vertices: 177, facets final: 50, pending: 650893, eq: 23921, out: 32734, in: 17043, pool: 149
I 8357.99] Elapsed: 2:19:18, vertices: 178, facets final: 50, pending: 636003, eq: 19716, out: 32354, in: 17464, pool: 149
I 8887.39] Elapsed: 2:28:07, vertices: 179, facets final: 50, pending: 638614, eq: 24186, out: 31308, in: 33919, pool: 148
I10349.52] Elapsed: 2:52:30, vertices: 180, facets final: 50, pending: 684121, eq: 44291, out: 82350, in: 127857, pool: 149
I12307.48] Elapsed: 3:25:07, vertices: 181, facets final: 50, pending: 710816, eq: 40186, out: 92341, in: 119036, pool: 150
I12824.33] Elapsed: 3:33:44, vertices: 182, facets final: 50, pending: 698002, eq: 34086, out: 30692, in: 17878, pool: 150
I13367.22] Elapsed: 3:42:47, vertices: 183, facets final: 50, pending: 691945, eq: 16640, out: 30165, in: 24108, pool: 149
I14574.12] Elapsed: 4:02:54, vertices: 184, facets final: 50, pending: 650795, eq: 59686, out: 70347, in: 29197, pool: 149
I14982.87] Elapsed: 4:09:43, vertices: 185, facets final: 50, pending: 645787, eq: 18113, out: 25777, in: 20769, pool: 149
I15469.27] Elapsed: 4:17:49, vertices: 186, facets final: 50, pending: 666688, eq: 17982, out: 24572, in: 45473, pool: 150
I15862.88] Elapsed: 4:24:23, vertices: 187, facets final: 50, pending: 653964, eq: 14420, out: 24930, in: 12206, pool: 150
